2.09426 167.569 8 
-1.11968 163.739 8 
-1.11968 163.739 18 
2.09426 167.569 18 

2.09426 167.569 8 
3.80426 162.871 8 
3.80426 162.871 18 
2.09426 167.569 18 

2.09426 167.569 8 
7.0182 166.701 8 
7.0182 166.701 18 
2.09426 167.569 18 

2.09426 167.569 8 
5.3082 171.399 8 
5.3082 171.399 18 
2.09426 167.569 18 

2.09426 167.569 8 
0.384256 172.267 8 
0.384256 172.267 18 
2.09426 167.569 18 

2.09426 167.569 8 
-2.82968 168.437 8 
-2.82968 168.437 18 
2.09426 167.569 18 

2.09426 167.569 8 
-1.11968 163.739 8 
-1.11968 163.739 18 
2.09426 167.569 18 

