190.566 -17.6493 8 
191.002 -12.6683 8 
191.002 -12.6683 18 
190.566 -17.6493 18 

190.566 -17.6493 8 
186.47 -14.7814 8 
186.47 -14.7814 18 
190.566 -17.6493 18 

190.566 -17.6493 8 
186.034 -19.7624 8 
186.034 -19.7624 18 
190.566 -17.6493 18 

190.566 -17.6493 8 
190.13 -22.6303 8 
190.13 -22.6303 18 
190.566 -17.6493 18 

190.566 -17.6493 8 
194.661 -20.5172 8 
194.661 -20.5172 18 
190.566 -17.6493 18 

190.566 -17.6493 8 
195.097 -15.5362 8 
195.097 -15.5362 18 
190.566 -17.6493 18 

190.566 -17.6493 8 
191.002 -12.6683 8 
191.002 -12.6683 18 
190.566 -17.6493 18 

