180.604 -18.5209 8 
179.31 -13.6912 8 
179.31 -13.6912 18 
180.604 -18.5209 18 

180.604 -18.5209 8 
175.774 -17.2267 8 
175.774 -17.2267 18 
180.604 -18.5209 18 

180.604 -18.5209 8 
177.068 -22.0564 8 
177.068 -22.0564 18 
180.604 -18.5209 18 

180.604 -18.5209 8 
181.898 -23.3505 8 
181.898 -23.3505 18 
180.604 -18.5209 18 

180.604 -18.5209 8 
185.433 -19.815 8 
185.433 -19.815 18 
180.604 -18.5209 18 

180.604 -18.5209 8 
184.139 -14.9854 8 
184.139 -14.9854 18 
180.604 -18.5209 18 

180.604 -18.5209 8 
179.31 -13.6912 8 
179.31 -13.6912 18 
180.604 -18.5209 18 

